cve_ent,nombre,poblacion,confirmdos
1,AGUASCALIENTES,1434635,32795
2,BAJA CALIFORNIA,3634868,59049
3,BAJA CALIFORNIA SUR,804708,54730
4,CAMPECHE,1000617,21961
7,CHIAPAS,5730367,21443
8,CHIHUAHUA,3801487,64386
9,DISTRITO FEDERAL,9018645,931135
5,COAHUILA,3218720,86766
6,COLIMA,785153,30069
10,DURANGO,1868996,46394
11,GUANAJUATO,6228175,166331
12,GUERRERO,3657048,73397
13,HIDALGO,3086414,58760
14,JALISCO,8409693,148185
15,MEXICO,17427790,353717
16,MICHOACAN,4825401,69115
17,MORELOS,2044058,46118
18,NAYARIT,1288571,31851
19,NUEVO LEON,5610153,192059
20,OAXACA,4143593,73852
21,PUEBLA,6604451,115456
22,QUERETARO,2279637,90915
23,QUINTANA ROO,1723259,57020
24,SAN LUIS POTOSI,2866142,96746
25,SINALOA,3156674,70670
26,SONORA,3074745,105906
27,TABASCO,2572287,128415
28,TAMAULIPAS,3650602,93751
29,TLAXCALA,1380011,27541
30,VERACRUZ,8539862,114095
31,YUCATAN,2259098,67103
32,ZACATECAS,1666426,39946
